stock_code,rcept_dt,timing,weekday,news,after_dummy,bad_dummy,bad_severity,fri_dummy,is_kosdaq,log_marcap,roa,debt_ratio,past_after_ratio,p_after_hat,CAR_m1_p1
000040,20190802,Intraday,4,Good News,0,0,0.0,1,0,24.20910516591545,-0.284851157035385,3.092050309907037,0.0,0.17770018226821088,-0.01779849803354451
000040,20200423,Intraday,3,Good News,0,0,0.0,0,0,24.20910516591545,-0.0736880535451234,2.12716005995804,0.0,0.18688753287632354,-0.01632839765789095
000100,20191031,After-hours,3,Good News,1,0,0.0,0,0,29.555225049830568,0.0172928024305679,0.2831583817583644,0.0,0.12332339942536752,-0.029313611950166532
000100,20200429,Intraday,2,Bad News,0,1,0.20437309169703535,0,0,29.555225049830568,0.079548852814995,0.2962465513954045,1.0,0.8477155411535643,-0.0061730032750432935
000100,20200731,Intraday,4,Good News,0,0,0.0,1,0,29.555225049830568,0.079548852814995,0.2962465513954045,0.5,0.39500555378193764,0.03497640298147413
000100,20201029,Intraday,3,Bad News,0,1,0.38878981522762174,0,0,29.555225049830568,0.079548852814995,0.2962465513954045,0.3333333333333333,0.39922041451807316,0.04182674273986023
000100,20210429,Intraday,3,Bad News,0,1,0.496332617417028,0,0,29.555225049830568,0.0402330558177562,0.2727029770081864,0.25,0.3378560946955065,-0.016196787243821953
000100,20210729,Intraday,3,Good News,0,0,0.0,0,0,29.555225049830568,0.0402330558177562,0.2727029770081864,0.2,0.21037497810754122,0.008132631426238322
000100,20211029,Intraday,4,Bad News,0,1,0.7189735998026153,1,0,29.555225049830568,0.0402330558177562,0.2727029770081864,0.16666666666666666,0.2696187069967517,-0.010993990583740558
000100,20220429,Intraday,4,Bad News,0,1,0.3692462059450646,1,0,29.555225049830568,0.0366366715347182,0.2315570414448294,0.14285714285714285,0.2537020215457973,-0.016093758775627784
000100,20220728,Intraday,3,Good News,0,0,0.0,0,0,29.555225049830568,0.0366366715347182,0.2315570414448294,0.125,0.1733362542982625,-0.009430992012052407
000100,20221103,Intraday,3,Bad News,0,1,0.5848077813802687,0,0,29.555225049830568,0.0366366715347182,0.2315570414448294,0.1111111111111111,0.24698364625116567,-0.05377629417698922
000100,20230426,Intraday,2,Good News,0,0,0.0,0,0,29.555225049830568,0.0476290542044647,0.3389288740785266,0.1,0.1621934709297676,0.0175817082254733
000100,20230728,Intraday,4,Good News,0,0,0.0,1,0,29.555225049830568,0.0476290542044647,0.3389288740785266,0.09090909090909091,0.1502460878181438,0.11374089473436533
000100,20231031,Intraday,1,Bad News,0,1,0.7177564732874467,0,0,29.555225049830568,0.0476290542044647,0.3389288740785266,0.08333333333333333,0.23128951763980474,0.009138425551395556
000100,20240430,Intraday,1,Bad News,0,1,0.10843373493975904,0,0,29.555225049830568,0.0187500134423711,0.3679685038567611,0.07692307692307693,0.22572286180738876,0.002272711529981088
000100,20240730,Intraday,1,Good News,0,0,0.0,0,0,29.555225049830568,0.0187500134423711,0.3679685038567611,0.07142857142857142,0.15017429968208276,-0.030183598197670976
000100,20241028,Intraday,0,Good News,0,0,0.0,0,0,29.555225049830568,0.0187500134423711,0.3679685038567611,0.06666666666666667,0.1482439570954608,-0.0794408825832394
000100,20250508,Intraday,3,Bad News,0,1,0.8412771270150186,0,0,29.555225049830568,0.0575359403223169,0.3634793175614249,0.0625,0.22005950591252296,-0.060436321012115615
000100,20250730,Intraday,2,Good News,0,0,0.0,0,0,29.555225049830568,0.0575359403223169,0.3634793175614249,0.058823529411764705,0.1451092941997582,-0.017542476864122785
000100,20251105,Intraday,2,Bad News,0,1,0.4717717191198387,0,0,29.555225049830568,0.0575359403223169,0.3634793175614249,0.05555555555555555,0.21513746711034976,0.004940083999434852
000120,20190503,Intraday,4,Bad News,0,1,0.4812149639629333,1,0,28.37669460855721,0.0055861432729173,1.4923132188679649,0.0,0.19389789961419357,0.03153026981841741
000120,20190808,Intraday,3,Good News,0,0,0.0,0,0,28.37669460855721,0.0055861432729173,1.4923132188679649,0.0,0.13550972686276908,0.03302411432835806
000120,20191107,Intraday,3,Good News,0,0,0.0,0,0,28.37669460855721,0.0055861432729173,1.4923132188679649,0.0,0.13550972686276908,-0.02848636140109313
000120,20200210,Intraday,0,Good News,0,0,0.0,0,0,28.37669460855721,0.0147895739831979,1.3870388078098326,0.0,0.13550972686276908,-0.011728694195005062
000120,20200514,Intraday,3,Bad News,0,1,0.4257517591212782,0,0,28.37669460855721,0.0147895739831979,1.3870388078098326,0.0,0.20355126400952944,0.055720538341035616
000120,20200807,Intraday,4,Good News,0,0,0.0,1,0,28.37669460855721,0.0147895739831979,1.3870388078098326,0.0,0.12844910442061752,-0.03370314471519396
000120,20201106,Intraday,4,Good News,0,0,0.0,1,0,28.37669460855721,0.0147895739831979,1.3870388078098326,0.0,0.12844910442061752,-0.027541901969238197
000120,20210507,Intraday,4,Bad News,0,1,0.4697637517630465,1,0,28.37669460855721,0.0175985050311069,1.2393244459614472,0.0,0.19386527328317749,0.006511131326281696
000120,20210806,Intraday,4,Good News,0,0,0.0,1,0,28.37669460855721,0.0175985050311069,1.2393244459614472,0.0,0.12844910442061752,-0.034883304612644564
000120,20211108,Intraday,0,Good News,0,0,0.0,0,0,28.37669460855721,0.0175985050311069,1.2393244459614472,0.0,0.13550972686276908,-0.021706399455486178
000120,20220509,After-hours,0,Bad News,1,1,0.24211433093265755,0,0,28.37669460855721,0.0203049310466133,1.402716650428072,0.0,0.2030090846099245,0.07457678177521022
000120,20220808,After-hours,0,Good News,1,0,0.0,0,0,28.37669460855721,0.0203049310466133,1.402716650428072,0.09090909090909091,0.17324580412979734,0.09368801830299987
000120,20230504,Intraday,3,Bad News,0,1,0.11843405346222662,0,0,28.37669460855721,0.0259549868958295,1.3144606768257845,0.16666666666666666,0.3020342934168541,0.04012326358757837
000120,20230807,After-hours,0,Good News,1,0,0.0,0,0,28.37669460855721,0.0259549868958295,1.3144606768257845,0.15384615384615385,0.20394488245057998,-0.045643129370409374
000120,20231106,After-hours,0,Good News,1,0,0.0,0,0,28.37669460855721,0.0259549868958295,1.3144606768257845,0.21428571428571427,0.23706895767471156,0.051848033282260786
000120,20240207,After-hours,2,Good News,1,0,0.0,0,0,28.37669460855721,0.0275373846638664,1.305910606114305,0.26666666666666666,0.2686371481766395,-0.0820704154561413
000120,20240510,Intraday,4,Bad News,0,1,0.24058939123551346,1,0,28.37669460855721,0.0275373846638664,1.305910606114305,0.3125,0.3938023775986967,-0.10701191553766992
000120,20240809,Intraday,4,Good News,0,0,0.0,1,0,28.37669460855721,0.0275373846638664,1.305910606114305,0.29411764705882354,0.2737789107397345,0.030049771269712228
000120,20241108,Intraday,4,Good News,0,0,0.0,1,0,28.37669460855721,0.0275373846638664,1.305910606114305,0.2777777777777778,0.2635279540407022,-0.05188406215009428
000150,20190725,After-hours,3,Good News,1,0,0.0,0,0,30.894367300029447,0.0107714838676043,3.411911148937367,0.0,0.11063125486835734,0.06954923534847697
000150,20191031,After-hours,3,Bad News,1,1,0.6284146183884031,0,0,30.894367300029447,0.0107714838676043,3.411911148937367,1.0,0.8322340433126924,-0.05420899743441698
000150,20200514,After-hours,3,Bad News,1,1,0.46435075766059397,0,0,30.894367300029447,-0.0248359870195998,2.906545265052639,1.0,0.8318160445038464,-0.09970650049068099
000150,20210427,After-hours,1,Good News,1,0,0.0,0,0,30.894367300029447,0.0252493155548311,2.0610439132400784,1.0,0.7519421786532859,0.17598984840696397
000150,20220503,After-hours,1,Bad News,1,1,0.5281300330912005,0,0,30.894367300029447,-0.0220847778901275,1.5554305127452346,1.0,0.8319786387754174,0.02831665135879055
000150,20220729,After-hours,4,Good News,1,0,0.0,1,0,30.894367300029447,-0.0220847778901275,1.5554305127452346,1.0,0.7402662172033868,0.01478468825751787
000150,20230728,After-hours,4,Good News,1,0,0.0,1,0,30.894367300029447,0.0096183930567492,1.5240892821953909,1.0,0.7402662172033868,0.29084565875024954
000150,20231102,After-hours,3,Bad News,1,1,0.3755859375,0,0,30.894367300029447,0.0096183930567492,1.5240892821953909,1.0,0.8315895449986342,-0.0825516785591521
000150,20241031,After-hours,3,Bad News,1,1,0.6727056727056727,0,0,30.894367300029447,0.0100264196773897,1.5352713431922431,1.0,0.8323467449422246,-0.05235835396319209
000150,20250430,After-hours,2,Good News,1,0,0.0,0,0,30.894367300029447,0.0075775208465263,1.6914275013709383,1.0,0.7519421786532859,0.012090572843894205
000150,20250725,After-hours,4,Good News,1,0,0.0,1,0,30.894367300029447,0.0075775208465263,1.6914275013709383,1.0,0.7402662172033868,-0.025689001103957068
000150,20251110,After-hours,0,Bad News,1,1,0.35354946897708217,0,0,30.894367300029447,0.0075775208465263,1.6914275013709383,1.0,0.8315332772827237,0.018967522446567086
000210,20190430,After-hours,1,Good News,1,0,0.0,0,0,27.858361808190946,0.0528297373388016,0.9958155457903596,0.0,0.14118346710979526,0.02003034476856468
000210,20190730,After-hours,1,Good News,1,0,0.0,0,0,27.858361808190946,0.0528297373388016,0.9958155457903596,1.0,0.8002426744433343,-0.04165215394683307
000210,20191031,After-hours,3,Bad News,1,1,0.2510084606574391,0,0,27.858361808190946,0.0528297373388016,0.9958155457903596,1.0,0.866860196714658,-0.02880306327628514
000210,20200130,After-hours,3,Good News,1,0,0.0,0,0,27.858361808190946,0.0411928453845996,3.329012016474329,1.0,0.8002426744433343,-0.019716094942584278
000210,20200429,After-hours,2,Bad News,1,1,0.16550629362183053,0,0,27.858361808190946,0.0411928453845996,3.329012016474329,1.0,0.866680200328262,-0.052653504411686924
000210,20201029,After-hours,3,Bad News,1,1,0.19583885135026277,0,0,27.858361808190946,0.0411928453845996,3.329012016474329,1.0,0.8667440789991981,-0.08090379974962902
000210,20210128,After-hours,3,Bad News,1,1,0.49859958568572216,0,0,27.858361808190946,0.0890653984337172,0.864879210369774,1.0,0.8673802575569746,0.010992871170934601
000210,20210511,After-hours,1,Bad News,1,1,0.47295699010660575,0,0,27.858361808190946,0.0890653984337172,0.864879210369774,1.0,0.8673264757179711,-0.16348534903493922
000210,20210729,After-hours,3,Bad News,1,1,0.2803748237327713,0,0,27.858361808190946,0.0890653984337172,0.864879210369774,1.0,0.8669219703573171,0.016178275013698812
000210,20211029,After-hours,4,Good News,1,0,0.0,1,0,27.858361808190946,0.0890653984337172,0.864879210369774,1.0,0.790205885954037,0.023366135022705924
000210,20220127,After-hours,3,Bad News,1,1,0.514475061039414,0,0,27.858361808190946,0.008473797077991,1.6027729782089215,1.0,0.8674135449394087,-0.002328627477063668
000210,20220502,After-hours,0,Good News,1,0,0.0,0,0,27.858361808190946,0.008473797077991,1.6027729782089215,1.0,0.8002426744433343,0.03484884635782995
000210,20220801,Intraday,0,Bad News,0,1,0.98172685285639,0,0,27.858361808190946,0.008473797077991,1.6027729782089215,1.0,0.8683901029461616,0.0747694908799774
000210,20221028,Intraday,4,Good News,0,0,0.0,1,0,27.858361808190946,0.008473797077991,1.6027729782089215,0.9230769230769231,0.746593870009455,0.02719068839960591
000210,20230203,After-hours,4,Bad News,1,1,0.8845734235217106,1,0,27.858361808190946,-0.0099820565259816,1.6733931369850272,0.8571428571428571,0.7969267732274075,-0.02916171755909468
000210,20230503,After-hours,2,Good News,1,0,0.0,0,0,27.858361808190946,-0.0099820565259816,1.6733931369850272,0.8666666666666667,0.7235295650341163,-0.005066446722830027
000210,20230728,After-hours,4,Bad News,1,1,1.1027089671157468,1,0,27.858361808190946,-0.0099820565259816,1.6733931369850272,0.875,0.8066200851924857,0.08215773128202729
000210,20231102,After-hours,3,Good News,1,0,0.0,0,0,27.858361808190946,-0.0099820565259816,1.6733931369850272,0.8823529411764706,0.7334365145322612,0.045323137974497246
000210,20240207,After-hours,2,Good News,1,0,0.0,0,0,27.858361808190946,0.0075657452407317,1.6191136194918745,0.8888888888888888,0.7374970744463971,-0.11808025253529092
000210,20240502,Intraday,3,Good News,0,0,0.0,0,0,27.858361808190946,0.0075657452407317,1.6191136194918745,0.8947368421052632,0.7410962625904313,0.04320593908584548
