size_group,total,bad_total,after_total,bad_after,mean_log_marcap,kosdaq_ratio,after_pct,bad_ratio_pct,bad_after_pct,kosdaq_ratio_pct
소형,2857,1364,1307,707,25.575306043359298,0.6107805390269514,45.74728736436822,47.74238711935597,51.832844574780054,61.07805390269514
중형,2845,1334,1228,639,27.37749998460396,0.3683655536028119,43.163444639718804,46.889279437609844,47.90104947526237,36.836555360281196
대형,2849,1326,1089,541,29.855546108340157,0.11091611091611092,38.22393822393823,46.542646542646544,40.79939668174962,11.091611091611092
