date,close,updown,comp,change,open,high,low,volume,amount,marcap,index_type
2018-08-29,2309.03,1,5.91,0.0026,2304.66,2309.88,2300.21,268214663,4807772689423,1545071113164630.0,KOSPI
2018-08-30,2307.35,2,-1.68,-0.0007,2313.11,2320.85,2305.46,286926328,5252383391374,1544327569839559.0,KOSPI
2018-08-31,2322.88,1,15.53,0.0067,2298.13,2322.88,2295.72,255908832,5525835420504,1554873150915856.0,KOSPI
2018-09-03,2307.03,2,-15.85,-0.0068,2317.93,2318.72,2302.17,230513226,4096555310237,1543779721299269.0,KOSPI
2018-09-04,2315.72,1,8.69,0.0038,2308.96,2317.74,2302.17,277014039,4551220959913,1549614964045074.0,KOSPI
2018-09-05,2291.77,2,-23.95,-0.0103,2310.9,2315.43,2288.01,358187171,5390488672546,1533312914002780.0,KOSPI
2018-09-06,2287.61,2,-4.16,-0.0018,2288.8,2298.47,2284.5,387510638,5679574007389,1529906806560863.0,KOSPI
2018-09-07,2281.58,2,-6.03,-0.0026,2278.08,2286.82,2264.9,357560508,6263720900565,1525066818464548.0,KOSPI
2018-09-10,2288.66,1,7.08,0.0031,2277.35,2289.38,2276.6,312612746,5599499357387,1529962355040679.0,KOSPI
2018-09-11,2283.2,2,-5.46,-0.0024,2286.91,2295.76,2275.13,368210972,6188337337979,1525866107953332.0,KOSPI
2018-09-12,2282.92,2,-0.28,-0.0001,2286.28,2289.66,2271.0,336830263,6445490499188,1525237664943277.0,KOSPI
2018-09-13,2286.23,1,3.31,0.0014,2285.28,2291.51,2281.63,301308674,6598920994447,1526997038011347.0,KOSPI
2018-09-14,2318.25,1,32.02,0.0139999999999999,2304.7,2318.65,2304.15,292236044,5839237669833,1549484910540028.0,KOSPI
2018-09-17,2303.01,2,-15.24,-0.0066,2314.55,2314.55,2295.26,343167026,5079753892653,1538974309539551.0,KOSPI
2018-09-18,2308.98,1,5.97,0.0026,2287.73,2310.97,2287.42,309235497,5794170442618,1544113849239324.0,KOSPI
2018-09-19,2308.46,2,-0.52,-0.0002,2319.22,2319.22,2301.79,350949190,6382677284847,1544270948811315.0,KOSPI
2018-09-20,2323.45,1,14.99,0.0065,2314.41,2334.04,2311.56,289085599,6468799318884,1554805558664798.0,KOSPI
2018-09-21,2339.17,1,15.72,0.0068,2332.04,2339.17,2325.12,321703947,8286570453356,1565411083749636.0,KOSPI
2018-09-27,2355.43,1,16.26,0.0069999999999999,2331.7,2355.43,2331.7,279230447,7299705654606,1576072562770882.0,KOSPI
2018-09-28,2343.07,2,-12.36,-0.0052,2356.13,2356.62,2337.47,317870220,7215237062038,1567600410138137.0,KOSPI
2018-10-01,2338.88,2,-4.19,-0.0018,2349.64,2352.11,2333.32,278310244,5541730106068,1565088147353786.0,KOSPI
2018-10-02,2309.57,2,-29.31,-0.0125,2338.28,2341.55,2308.9,287868231,6394764332660,1545687250472083.0,KOSPI
2018-10-04,2274.49,2,-35.08,-0.0152,2311.06,2311.06,2270.22,309502297,7606334609281,1522077631611312.0,KOSPI
2018-10-05,2267.52,2,-6.97,-0.0031,2269.94,2278.12,2250.99,282139132,6398398547215,1516687626221016.0,KOSPI
2018-10-08,2253.83,2,-13.69,-0.006,2258.73,2273.71,2253.83,214644406,4478791949552,1507728175260388.0,KOSPI
2018-10-10,2228.61,2,-25.22,-0.0112,2256.03,2257.52,2222.95,365683910,8836407999393,1491298711172330.0,KOSPI
2018-10-11,2129.67,2,-98.94,-0.0444,2176.16,2186.69,2129.67,411919150,8335698664127,1425862543562146.0,KOSPI
2018-10-12,2161.85,1,32.18,0.0151,2131.66,2173.01,2129.13,292573680,6085083782185,1447954874236682.0,KOSPI
2018-10-15,2145.12,2,-16.73,-0.0077,2155.34,2159.23,2141.28,259176039,4708940231111,1436393187257125.0,KOSPI
2018-10-16,2145.12,3,0.0,0.0,2156.0,2161.76,2140.19,222512420,3936707732065,1436739589906666.0,KOSPI
2018-10-17,2167.51,1,22.39,0.0104,2169.44,2182.77,2159.37,275159713,5284969143372,1451605025541725.0,KOSPI
2018-10-18,2148.31,2,-19.2,-0.0089,2158.8,2168.01,2146.61,321762515,4229126676336,1438938480767734.0,KOSPI
2018-10-19,2156.26,1,7.95,0.0037,2130.06,2158.78,2117.62,351771056,4875051374475,1444034122500876.0,KOSPI
2018-10-22,2161.71,1,5.45,0.0025,2143.08,2163.21,2136.92,308740360,3910411312536,1447338908438749.0,KOSPI
2018-10-23,2106.1,2,-55.61,-0.0256999999999999,2147.3,2148.8,2094.69,373468365,6995701616997,1410671809809999.0,KOSPI
2018-10-24,2097.58,2,-8.52,-0.004,2119.19,2121.36,2092.1,399734277,6490106611511,1404498958966607.0,KOSPI
2018-10-25,2063.3,2,-34.28,-0.0163,2046.67,2066.06,2033.81,376014931,7607756030640,1381218885031170.0,KOSPI
2018-10-26,2027.15,2,-36.15,-0.0175,2066.57,2066.57,2008.86,449197781,6688109371676,1357749078363398.0,KOSPI
2018-10-29,1996.05,2,-31.1,-0.0153,2026.68,2045.76,1993.77,427304809,6359734182920,1337548193254955.0,KOSPI
2018-10-30,2014.69,1,18.64,0.0093,1985.95,2028.84,1985.95,441585024,7022060477564,1350728242365493.0,KOSPI
2018-10-31,2029.69,1,15.0,0.0074,2022.84,2030.5,2006.63,373027917,6347335573367,1361478009940289.0,KOSPI
2018-11-01,2024.46,2,-5.23,-0.0026,2035.11,2054.22,2023.43,343813982,5965853225311,1357721489101201.0,KOSPI
2018-11-02,2096.0,1,71.54,0.0353,2046.61,2096.63,2044.94,371978982,6798069287128,1405334524247641.0,KOSPI
2018-11-05,2076.92,2,-19.08,-0.0091,2079.81,2080.49,2052.67,361302495,4917286105689,1392607295640860.0,KOSPI
2018-11-06,2089.62,1,12.7,0.0060999999999999,2085.81,2092.61,2068.59,315816036,5143563252043,1400793160025069.0,KOSPI
2018-11-07,2078.69,2,-10.93,-0.0052,2090.32,2107.63,2072.48,485225008,6452003891470,1394112654139746.0,KOSPI
2018-11-08,2092.63,1,13.94,0.0067,2109.97,2120.88,2092.36,328034643,5987514683033,1403264488522132.0,KOSPI
2018-11-09,2086.09,2,-6.54,-0.0031,2093.89,2101.92,2082.47,298072439,5260639742532,1399495753141431.0,KOSPI
2018-11-12,2080.44,2,-5.65,-0.0027,2065.92,2087.24,2065.52,295528834,5542962416785,1396015015368220.0,KOSPI
2018-11-13,2071.23,2,-9.21,-0.0044,2047.62,2072.03,2032.05,383421096,5865351205238,1389821571154802.0,KOSPI
2018-11-14,2068.05,2,-3.18,-0.0015,2071.41,2075.12,2060.86,339046421,5561968951963,1387531772647114.0,KOSPI
2018-11-15,2088.06,1,20.01,0.0097,2061.47,2088.61,2058.73,351042679,4828619809984,1400644704481109.0,KOSPI
2018-11-16,2092.4,1,4.34,0.0021,2097.94,2103.11,2086.54,301604800,4837651605403,1403214070108003.0,KOSPI
2018-11-19,2100.56,1,8.16,0.0039,2096.13,2111.39,2089.37,273198192,4703756708323,1407580890523356.0,KOSPI
2018-11-20,2082.58,2,-17.98,-0.0086,2074.67,2089.54,2074.67,281685483,5043725349437,1394320913235383.0,KOSPI
2018-11-21,2076.55,2,-6.03,-0.0029,2057.07,2077.49,2049.76,267903665,5151648692417,1389907927315249.0,KOSPI
2018-11-22,2069.95,2,-6.6,-0.0032,2079.01,2081.75,2066.2,242498695,4152745756544,1385804543649564.0,KOSPI
2018-11-23,2057.48,2,-12.47,-0.006,2073.26,2075.91,2047.96,227202249,3774227154814,1377477156503286.0,KOSPI
2018-11-26,2083.02,1,25.54,0.0124,2060.17,2083.96,2060.17,237710998,4482314159182,1394139023522661.0,KOSPI
2018-11-27,2099.42,1,16.4,0.0079,2091.75,2102.29,2079.49,239211333,4554649438449,1405263073694450.0,KOSPI
2018-11-28,2108.22,1,8.8,0.0042,2104.13,2108.65,2094.32,300075899,4793983447025,1410935094058994.0,KOSPI
2018-11-29,2114.1,1,5.88,0.0028,2133.95,2136.74,2108.9,307230147,5304158577124,1414953063757803.0,KOSPI
2018-11-30,2096.86,2,-17.24,-0.0081999999999999,2116.83,2122.33,2093.83,427354687,7316750950445,1403482457591888.0,KOSPI
2018-12-03,2131.93,1,35.07,0.0167,2127.78,2136.64,2113.6,436588354,5571246218013,1427528842890565.0,KOSPI
2018-12-04,2114.35,2,-17.58,-0.0081999999999999,2125.67,2128.94,2105.45,507517915,5539552759800,1414637237271263.0,KOSPI
2018-12-05,2101.31,2,-13.04,-0.0062,2086.57,2107.69,2086.57,492716302,4802792506076,1405505401513177.0,KOSPI
2018-12-06,2068.69,2,-32.62,-0.0155,2094.62,2094.62,2064.0,537409666,5606457270821,1383505179302256.0,KOSPI
2018-12-07,2075.76,1,7.07,0.0034,2081.68,2086.84,2065.62,371590518,4318800488614,1389034610099779.0,KOSPI
2018-12-10,2053.79,2,-21.97,-0.0106,2048.45,2061.78,2043.21,344164081,4697529196041,1373936929456377.0,KOSPI
2018-12-11,2052.97,2,-0.82,-0.0004,2058.16,2060.94,2047.17,273932724,5020321840385,1373342570134826.0,KOSPI
2018-12-12,2082.57,1,29.6,0.0144,2062.77,2084.77,2061.13,457126806,5613049104300,1371559153619690.0,KOSPI
2018-12-13,2095.55,1,12.98,0.0062,2087.43,2104.43,2084.37,379818934,7941965801885,1379759767753823.0,KOSPI
2018-12-14,2069.38,2,-26.17,-0.0125,2095.64,2095.64,2061.4,448237566,5784241998914,1362231208465947.0,KOSPI
2018-12-17,2071.09,1,1.71,0.0008,2071.21,2075.93,2065.51,444522436,4764477303856,1363331838169250.0,KOSPI
2018-12-18,2062.11,2,-8.98,-0.0043,2057.39,2074.31,2054.26,429530034,5241610268028,1358110562555382.0,KOSPI
2018-12-19,2078.84,1,16.73,0.0081,2068.95,2080.65,2063.01,418796781,5124894547204,1368928570752260.0,KOSPI
2018-12-20,2060.12,2,-18.72,-0.009,2063.7,2071.08,2047.52,421064811,5483090122031,1356169265732605.0,KOSPI
2018-12-21,2061.49,1,1.37,0.0007,2052.7,2061.51,2049.76,311388830,5492537998707,1357352795408644.0,KOSPI
2018-12-24,2055.01,2,-6.48,-0.0031,2050.38,2059.94,2046.18,285275041,3843849185884,1352900455817700.0,KOSPI
2018-12-26,2028.01,2,-27.0,-0.0131,2028.81,2037.83,2014.28,321499356,5424078195801,1336757289211058.0,KOSPI
2018-12-27,2028.44,1,0.43,0.0002,2032.09,2035.57,2021.39,398021312,5351003742272,1335555861715532.0,KOSPI
2018-12-28,2041.04,1,12.6,0.0062,2036.7,2046.97,2035.41,352677713,4120695824217,1343971857985694.0,KOSPI
2019-01-02,2010.0,2,-31.04,-0.0152,2050.55,2053.45,2004.27,326367773,4295871822881,1323645396533233.0,KOSPI
2019-01-03,1993.7,2,-16.3,-0.0081,2011.81,2014.72,1991.65,427976017,5358519356361,1312758913016841.0,KOSPI
2019-01-04,2010.25,1,16.55,0.0083,1992.4,2011.56,1984.53,408990897,5490147620731,1323719372668579.0,KOSPI
