corp_code,stock_code,corp_name,market,code,name,market_krx,marcap,log_marcap
00361381,054950,제이브이엠,KOSDAQ,054950,제이브이엠,KOSDAQ,292575386400,26.40198820169337
00105855,010120,엘에스일렉트릭,KOSPI,010120,LS ELECTRIC,KOSPI,38850000000000,31.290729192742205
00660291,109080,옵티시스,KOSDAQ,109080,옵티시스,KOSDAQ,76875040000,25.065447083398162
00120030,006360,GS건설,KOSPI,006360,GS건설,KOSPI,2738607680000,28.6384707611932
00160232,044450,KSS해운,KOSPI,044450,KSS해운,KOSPI,259485291200,26.281965856635697
00980122,175330,JB금융지주,KOSPI,175330,JB금융지주,KOSPI,4696926920800,29.177929564155328
00231363,032640,LG유플러스,KOSPI,032640,LG유플러스,KOSPI,6967517634550,29.572280127271682
00126371,009150,삼성전기,KOSPI,009150,삼성전기,KOSPI,75440632960000,31.954367144462456
00116301,008260,NI스틸,KOSPI,008260,NI스틸,KOSPI,105248430560,25.37958939785378
01310269,294870,IPARK현대산업개발,KOSPI,294870,IPARK현대산업개발,KOSPI,1509277857000,28.042652411964617
00172291,012510,더존비즈온,KOSPI,012510,더존비즈온,KOSPI,3647378400000,28.92502977888496
00124540,047040,대우건설,KOSPI,047040,대우건설,KOSPI,11710867683000,30.091538388401965
01067516,215000,골프존,KOSDAQ,215000,골프존,KOSDAQ,298395983250,26.421687244226973
00141413,012280,영화금속,KOSPI,012280,영화금속,KOSPI,50889537425,24.65292318780256
01014055,234300,에스트래픽,KOSDAQ,234300,에스트래픽,KOSDAQ,91826257500,25.243164123086007
00155276,003670,포스코퓨처엠,KOSPI,003670,포스코퓨처엠,KOSPI,20946834810000,30.67300866782761
00158501,012750,에스원,KOSPI,012750,에스원,KOSPI,2853738267800,28.67965092362997
00138279,010950,S-Oil,KOSPI,010950,S-Oil,KOSPI,12620530983200,30.166346046895008
00273439,041920,메디아나,KOSDAQ,041920,메디아나,KOSDAQ,331420333860,26.52665329750981
00565154,214320,이노션,KOSPI,214320,이노션,KOSPI,834000000000,27.44949923930516
00767460,178920,PI첨단소재,KOSPI,178920,PI첨단소재,KOSPI,819320383800,27.431741033315998
00159698,071320,지역난방공사,KOSPI,071320,지역난방공사,KOSPI,888089664800,27.512338548714936
00139454,018250,애경산업,KOSPI,018250,애경산업,KOSPI,354949526400,26.59524143715848
00360595,086280,현대글로비스,KOSPI,086280,현대글로비스,KOSPI,18150000000000,30.52969167663941
00165680,008770,호텔신라,KOSPI,008770,호텔신라,KOSPI,2453007562500,28.52833596415979
00164788,012330,현대모비스,KOSPI,012330,현대모비스,KOSPI,57070794707000,31.675313625507247
00126362,006400,삼성SDI,KOSPI,006400,삼성SDI,KOSPI,49479515420000,31.53257986995298
00105961,011070,LG이노텍,KOSPI,011070,LG이노텍,KOSPI,17324322324000,30.48313254474165
00126292,029780,삼성카드,KOSPI,029780,삼성카드,KOSPI,5885631662800,29.4035351852564
00106623,011210,현대위아,KOSPI,011210,현대위아,KOSPI,2510106160900,28.551346163357106
00164478,000720,현대건설,KOSPI,000720,현대건설,KOSPI,17260143575000,30.479421119915397
00145880,004020,현대제철,KOSPI,004020,현대제철,KOSPI,6158522977750,29.448858088383748
00141389,036560,KZ정밀,KOSDAQ,036560,KZ정밀,KOSDAQ,211365000000,26.07685233376159
00106641,000270,기아,KOSPI,000270,기아,KOSPI,65589383664000,31.81443496439175
00166573,016580,환인제약,KOSPI,016580,환인제약,KOSPI,213342802900,26.086166112240626
00302926,064350,현대로템,KOSPI,064350,현대로템,KOSPI,21992172039500,30.72170768958283
00164742,005380,현대자동차,KOSPI,005380,현대차,KOSPI,143330436200000,32.59617382318563
00157681,004000,롯데정밀화학,KOSPI,004000,롯데정밀화학,KOSPI,1424160000000,27.984603282157032
00356370,051900,LG생활건강,KOSPI,051900,LG생활건강,KOSPI,4098058216000,29.041534371598477
00611736,092870,엑시콘,KOSDAQ,092870,엑시콘,KOSDAQ,377168033300,26.655956636765566
00126186,018260,삼성에스디에스,KOSPI,018260,삼성에스디에스,KOSPI,14624404200000,30.313712769755096
00164779,000660,SK하이닉스,KOSPI,000660,SK하이닉스,KOSPI,1296405601935000,34.79837190833363
00422895,067830,세이브존I&C,KOSPI,067830,세이브존I&C,KOSPI,119839413400,25.509418461843527
00359395,084990,헬릭스미스,KOSDAQ,084990,헬릭스미스,KOSDAQ,350305257200,26.582070774744917
00149655,028260,삼성물산,KOSPI,028260,삼성물산,KOSPI,64300000966500,31.794580762203225
00871833,237690,에스티팜,KOSDAQ,237690,에스티팜,KOSDAQ,2739417607800,28.63876646183836
00155452,023900,풍국주정,KOSDAQ,023900,풍국주정,KOSDAQ,118440000000,25.4976723401798
01078178,218410,RFHIC,KOSDAQ,218410,RFHIC,KOSDAQ,2578339218200,28.578166593713373
00536541,086520,에코프로,KOSDAQ,086520,에코프로,KOSDAQ,17542278838400,30.495635016805128
00181299,089980,상아프론테크,KOSDAQ,089980,상아프론테크,KOSDAQ,364550043600,26.62192967279835
01032413,195870,해성디에스,KOSPI,195870,해성디에스,KOSPI,1489200000000,28.029260178944973
00587457,094480,갤럭시아머니트리,KOSDAQ,094480,갤럭시아머니트리,KOSDAQ,277354954660,26.34856394757509
00136378,004170,신세계,KOSPI,004170,신세계,KOSPI,5109842921000,29.26218978014136
00447487,080220,제주반도체,KOSDAQ,080220,제주반도체,KOSDAQ,2834645155900,28.67293787980704
00579999,098460,고영,KOSDAQ,098460,고영,KOSDAQ,2499033082000,28.546925005788978
00872984,139480,이마트,KOSPI,139480,이마트,KOSPI,2828571447500,28.670792911265643
00261285,036460,한국가스공사,KOSPI,036460,한국가스공사,KOSPI,3494047050000,28.882081793491363
00126478,010140,삼성중공업,KOSPI,010140,삼성중공업,KOSPI,25784000000000,30.880775260441684
00957735,237880,클리오,KOSDAQ,237880,클리오,KOSDAQ,219024798360,26.112450794872917
00171265,034230,파라다이스,KOSPI,034230,파라다이스,KOSPI,1418155838420,27.980378438155054
00557508,114090,GKL,KOSPI,114090,GKL,KOSPI,779999998700,27.38255975496338
00115977,010780,아이에스동서,KOSPI,010780,아이에스동서,KOSPI,917684070400,27.54511901844267
00524421,095610,테스,KOSDAQ,095610,테스,KOSDAQ,2286416000000,28.458006641998157
00409672,084870,티비에이치글로벌,KOSPI,084870,TBH글로벌,KOSPI,42235058475,24.466516482640124
00456218,080160,모두투어,KOSDAQ,080160,모두투어,KOSDAQ,190890000000,25.97496318285922
00956930,170900,동아에스티,KOSPI,170900,동아에스티,KOSPI,408082007050,26.734733988824814
00269922,041830,인바디,KOSDAQ,041830,인바디,KOSDAQ,603943513600,27.12674650997811
00203315,036420,콘텐트리중앙,KOSPI,036420,콘텐트리중앙,KOSPI,102668101640,25.354767308167187
00412597,057050,현대홈쇼핑,KOSPI,057050,현대홈쇼핑,KOSPI,1036800000000,27.66716016254442
00260879,042000,카페24,KOSDAQ,042000,카페24,KOSDAQ,527503924500,26.991422142079383
00693554,104480,티케이케미칼,KOSDAQ,104480,티케이케미칼,KOSDAQ,203151294990,26.037216833910655
00119672,016740,두올,KOSPI,016740,두올,KOSPI,137491945080,25.646831171100725
00916516,189980,흥국에프엔비,KOSDAQ,189980,흥국에프엔비,KOSDAQ,58480813939,24.79196457053663
00228059,084110,휴온스글로벌,KOSDAQ,084110,휴온스글로벌,KOSDAQ,479173884200,26.89532938351463
00796994,120030,조선선재,KOSPI,120030,조선선재,KOSPI,118722254400,25.500052605403518
00149026,000590,CS홀딩스,KOSPI,000590,CS홀딩스,KOSPI,87740632000,25.197650935758606
00523307,068240,다원시스,KOSDAQ,068240,다원시스,KOSDAQ,96553495610,25.293363050344208
00103176,000540,흥국화재,KOSPI,000540,흥국화재,KOSPI,257291793225,26.273476659981164
00152127,036710,심텍홀딩스,KOSDAQ,036710,심텍홀딩스,KOSDAQ,232442117600,26.171907074419853
01095722,222800,심텍,KOSDAQ,222800,심텍,KOSDAQ,3757632279300,28.954810162025748
00160588,000880,한화,KOSPI,000880,한화,KOSPI,9969819746600,29.93058362016012
00112332,085620,미래에셋생명,KOSPI,085620,미래에셋생명,KOSPI,1996608600000,28.322471157161907
00146232,013360,일성건설,KOSPI,013360,일성건설,KOSPI,87574330480,25.19575376089654
01144028,260930,씨티케이,KOSDAQ,260930,씨티케이,KOSDAQ,64697621895,24.892990281904492
01186404,263720,디앤씨미디어,KOSDAQ,263720,디앤씨미디어,KOSDAQ,135297241900,25.63073998684516
00143262,010400,우진아이엔에스,KOSPI,010400,우진아이엔에스,KOSPI,27744080000,24.046288321046728
00413046,068270,셀트리온,KOSPI,068270,셀트리온,KOSPI,41901943676800,31.366353330248508
00105280,005440,현대지에프홀딩스,KOSPI,005440,현대지에프홀딩스,KOSPI,2310501740820,28.468485820695097
00442826,078140,대봉엘에스,KOSDAQ,078140,대봉엘에스,KOSDAQ,110865790000,25.431586207609595
00397289,067170,오텍,KOSDAQ,067170,오텍,KOSDAQ,91625371240,25.240974048877625
00526599,145720,덴티움,KOSPI,145720,덴티움,KOSPI,445855164700,26.823259993400992
00860730,140910,에이리츠,KOSPI,140910,에이리츠,KOSPI,13969290160,23.36012719718488
00164973,001450,현대해상,KOSPI,001450,현대해상,KOSPI,2843029137500,28.675891197401732
01238169,271560,오리온,KOSPI,271560,오리온,KOSPI,5574594612000,29.34924071529452
00353878,058730,다스코,KOSPI,058730,다스코,KOSPI,62836896150,24.863808256211353
00159193,015760,한국전력공사,KOSPI,015760,한국전력,KOSPI,24876107983750,30.844928940041537
00439965,121600,나노신소재,KOSDAQ,121600,나노신소재,KOSDAQ,867561322800,27.488952035375696
00613318,122870,와이지엔터테인먼트,KOSDAQ,122870,와이지엔터테인먼트,KOSDAQ,930814240200,27.559325567140203
00244747,140860,파크시스템스,KOSDAQ,140860,파크시스템스,KOSDAQ,1850853826500,28.246668176385406
00603348,093320,케이아이엔엑스,KOSDAQ,093320,케이아이엔엑스,KOSDAQ,559736000000,27.050731080946793
00113058,088350,한화생명,KOSPI,088350,한화생명,KOSPI,4681376700000,29.174613349266238
01159853,243070,휴온스,KOSDAQ,243070,휴온스,KOSDAQ,416892342000,26.756093852751043
00152880,003070,코오롱글로벌,KOSPI,003070,코오롱글로벌,KOSPI,266951569500,26.310333091253483
00244455,033780,케이티앤지,KOSPI,033780,KT&G,KOSPI,18665119988800,30.557677656819838
00157636,024880,케이피에프,KOSDAQ,024880,케이피에프,KOSDAQ,113919560100,25.45875842312088
00159102,005830,DB손해보험,KOSPI,005830,DB손해보험,KOSPI,10774807410500,30.008231878023125
00126566,012450,한화에어로스페이스,KOSPI,012450,한화에어로스페이스,KOSPI,62701095616000,31.76940003735415
00119007,009580,무림P&P,KOSPI,009580,무림P&P,KOSPI,153114235420,25.75445011647633
00139214,000810,삼성화재해상보험,KOSPI,000810,삼성화재,KOSPI,24734700042000,30.83922823366992
00162461,009830,한화솔루션,KOSPI,009830,한화솔루션,KOSPI,6978836961600,29.573903394406834
00189538,032580,피델릭스,KOSDAQ,032580,피델릭스,KOSDAQ,128055427360,25.57572903338722
00617998,234100,폴라리스세원,KOSDAQ,234100,폴라리스세원,KOSDAQ,74468346660,25.033639994999117
00795135,120110,코오롱인더,KOSPI,120110,코오롱인더,KOSPI,2392687956800,28.503438518023724
00400857,078520,에이블씨엔씨,KOSPI,078520,에이블씨엔씨,KOSPI,392293547880,26.695276243123786
00350312,039570,HDC랩스,KOSPI,039570,HDC랩스,KOSPI,207401231990,26.05792107288813
00609324,100120,뷰웍스,KOSDAQ,100120,뷰웍스,KOSDAQ,287085152000,26.383044705564334
00139719,019210,와이지-원,KOSDAQ,019210,와이지-원,KOSDAQ,655725424640,27.209007978269813
00366942,059090,미코,KOSDAQ,059090,미코,KOSDAQ,743523310500,27.3346659547425
00247975,036830,솔브레인홀딩스,KOSDAQ,036830,솔브레인홀딩스,KOSDAQ,1164626120800,27.7834212250864
00299464,047820,초록뱀미디어,KOSDAQ,047820,초록뱀미디어,KOSDAQ,139387401000,25.66052295098744
00917861,192440,슈피겐코리아,KOSDAQ,192440,슈피겐코리아,KOSDAQ,176855527350,25.898599006562417
00357430,049960,쎌바이오텍,KOSDAQ,049960,쎌바이오텍,KOSDAQ,159800000000,25.797188870278585
01168383,249420,일동제약,KOSPI,249420,일동제약,KOSPI,703951107000,27.27997474040858
00146083,000230,일동홀딩스,KOSPI,000230,일동홀딩스,KOSPI,94285068000,25.26958866834262
00604426,119610,인터로조,KOSDAQ,119610,인터로조,KOSDAQ,218002567700,26.107772678106503
00119140,143210,핸즈코퍼레이션,KOSPI,143210,핸즈코퍼레이션,KOSPI,26229020653,23.990132293223844
00264547,035600,KG이니시스,KOSDAQ,035600,KG이니시스,KOSDAQ,288494923980,26.387943328216384
00550994,099190,아이센스,KOSDAQ,099190,아이센스,KOSDAQ,516768842730,26.97086149876222
00614478,200670,휴메딕스,KOSDAQ,200670,휴메딕스,KOSDAQ,354865788000,26.59500549296655
00787057,115160,휴맥스,KOSDAQ,115160,휴맥스,KOSDAQ,32642914940,24.2088936688146
00159218,051600,한전KPS,KOSPI,051600,한전KPS,KOSPI,2538000000000,28.562397485220743
00525882,096240,크레버스,KOSDAQ,096240,크레버스,KOSDAQ,113717326200,25.456981611317726
01032404,200130,콜마비앤에이치,KOSDAQ,200130,콜마비앤에이치,KOSDAQ,341808783960,26.557517306419978
00128555,004690,삼천리,KOSPI,004690,삼천리,KOSPI,495055060500,26.927934826662465
00105271,002380,케이씨씨,KOSPI,002380,KCC,KOSPI,4745375514000,29.188191683742158
00816544,214420,토니모리,KOSPI,214420,토니모리,KOSPI,166459209080,25.83801612584132
00414601,077500,유니퀘스트,KOSPI,077500,유니퀘스트,KOSPI,169776801720,25.85775048028872
00628189,095720,웅진씽크빅,KOSPI,095720,웅진씽크빅,KOSPI,113540515830,25.455425577835268
00120526,023530,롯데쇼핑,KOSPI,023530,롯데쇼핑,KOSPI,4803430599000,29.200351486685168
01135941,240810,원익IPS,KOSDAQ,240810,원익IPS,KOSDAQ,5629923444700,29.35911696024347
00265324,035760,CJ ENM,KOSDAQ,035760,CJ ENM,KOSDAQ,962689860600,27.59299714142183
00170558,021240,코웨이,KOSPI,021240,코웨이,KOSPI,6701675242200,29.533378647220893
00244561,035080,그래디언트,KOSDAQ,035080,그래디언트,KOSDAQ,117170661000,25.486897349986343
00255619,035250,강원랜드,KOSPI,035250,강원랜드,KOSPI,3487230150000,28.88012888373824
00635134,097950,CJ제일제당,KOSPI,097950,CJ제일제당,KOSPI,3439881501000,28.86645813933681
01168684,253450,스튜디오드래곤,KOSDAQ,253450,스튜디오드래곤,KOSDAQ,918287113900,27.545775938907266
00138792,020560,아시아나항공,KOSPI,020560,아시아나항공,KOSPI,1518151540070,28.04851461868754
